"Peak1","Peak2","coaccess"
"chr2:10047212-10049536","chr2:10079297-10081585",0.315050154646272
"chr2:10079297-10081585","chr2:10047212-10049536",0.315050154646272
"chr2:10079297-10081585","chr2:10370206-10375844",0.261835179069408
"chr2:101139975-101140319","chr2:101295315-101297283",0.218805310314171
"chr2:101295315-101297283","chr2:101139975-101140319",0.218805310314171
"chr2:101472673-101473484","chr2:101591252-101593470",0.374891819868258
"chr2:10153312-10154208","chr2:10215993-10217222",0.243638558039441
"chr2:101536791-101537400","chr2:101579962-101581380",0.464590013645199
"chr2:101579962-101581380","chr2:101536791-101537400",0.464590013645199
"chr2:101579962-101581380","chr2:101591252-101593470",0.303483834241273
"chr2:101579962-101581380","chr2:101648924-101649624",0.320046800307384
"chr2:101579962-101581380","chr2:101665019-101666299",0.228559231694347
"chr2:101591252-101593470","chr2:101472673-101473484",0.374891819868258
"chr2:101591252-101593470","chr2:101579962-101581380",0.303483834241273
"chr2:101591252-101593470","chr2:101608244-101609047",0.504881121260239
"chr2:101591252-101593470","chr2:101722416-101723862",0.412410450565918
"chr2:101591252-101593470","chr2:101796073-101798348",0.369907642265169
"chr2:101591252-101593470","chr2:101860918-101861523",0.319118213063311
"chr2:101591252-101593470","chr2:101862120-101863452",0.505005181234769
"chr2:101591252-101593470","chr2:101871006-101871694",0.343422516346082
"chr2:101591252-101593470","chr2:101950805-101951480",0.293226294337659
"chr2:101591252-101593470","chr2:101964917-101966469",0.627079825343254
"chr2:101591252-101593470","chr2:101977538-101981036",0.410392439908079
"chr2:101591252-101593470","chr2:101981793-101984084",0.23319379023134
"chr2:101608244-101609047","chr2:101591252-101593470",0.504881121260239
"chr2:101608244-101609047","chr2:101722416-101723862",0.209541924208843
"chr2:101608244-101609047","chr2:101862120-101863452",0.258597670249336
"chr2:101608244-101609047","chr2:101964917-101966469",0.320165469552479
"chr2:101608244-101609047","chr2:101977538-101981036",0.223898596621049
"chr2:101648924-101649624","chr2:101579962-101581380",0.320046800307384
"chr2:101665019-101666299","chr2:101579962-101581380",0.228559231694347
"chr2:101690199-101690799","chr2:101960700-101961104",0.503110164880863
"chr2:101722416-101723862","chr2:101591252-101593470",0.412410450565918
"chr2:101722416-101723862","chr2:101608244-101609047",0.209541924208843
"chr2:101722416-101723862","chr2:101796073-101798348",0.244568753641855
"chr2:101722416-101723862","chr2:101860918-101861523",0.227107776066989
"chr2:101722416-101723862","chr2:101862120-101863452",0.3415154654442
"chr2:101722416-101723862","chr2:101964917-101966469",0.391174566982364
"chr2:101722416-101723862","chr2:101977538-101981036",0.334939031288037
"chr2:101722416-101723862","chr2:101981793-101984084",0.209345821782709
"chr2:101796073-101798348","chr2:101591252-101593470",0.369907642265169
"chr2:101796073-101798348","chr2:101722416-101723862",0.244568753641855
"chr2:101796073-101798348","chr2:101860918-101861523",0.271234745578311
"chr2:101796073-101798348","chr2:101862120-101863452",0.388052083655224
"chr2:101796073-101798348","chr2:101964917-101966469",0.436038126899266
"chr2:101796073-101798348","chr2:101977538-101981036",0.440448349511981
"chr2:101796073-101798348","chr2:101981793-101984084",0.350984188241602
